experiment_name,FractionID,FractionOrder
HEK_SEC2,Control_HEK_SEC_020118_30b,21
HEK_SEC2,Control_HEK_SEC_020118_31b,22
HEK_SEC2,Control_HEK_SEC_020118_32b,23
HEK_SEC2,Control_HEK_SEC_020118_33b,24
HEK_SEC2,Control_HEK_SEC_020118_34b,25
HEK_SEC2,Control_HEK_SEC_020118_35b,26
HEK_SEC2,Control_HEK_SEC_020118_38b,29
HEK_SEC2,Control_HEK_SEC_020118_42b,33
HEK_SEC2,Control_HEK_SEC_020118_44b,35
HEK_SEC2,Control_HEK_SEC_020118_51b,42
HEK_SEC2,Control_HEK_SEC_020118_22b,13
HEK_SEC2,Control_HEK_SEC_020118_21b,12
HEK_SEC2,Control_HEK_SEC_020118_19b,10
HEK_SEC2,Control_HEK_SEC_020118_28b,19
HEK_SEC2,Control_HEK_SEC_020118_39b,30
HEK_SEC2,Control_HEK_SEC_020118_29b,20
HEK_SEC2,Control_HEK_SEC_020118_16b,7
HEK_SEC2,Control_HEK_SEC_020118_43b,34
HEK_SEC2,Control_HEK_SEC_020118_17b,8
HEK_SEC2,Control_HEK_SEC_020118_18b,9
HEK_SEC2,Control_HEK_SEC_020118_23b,14
HEK_SEC2,Control_HEK_SEC_020118_24b,15
HEK_SEC2,Control_HEK_SEC_020118_45b,36
HEK_SEC2,Control_HEK_SEC_020118_46b,37
HEK_SEC2,Control_HEK_SEC_020118_47b,38
HEK_SEC2,Control_HEK_SEC_020118_48c,39
HEK_SEC2,Control_HEK_SEC_020118_40b,31
HEK_SEC2,Control_HEK_SEC_020118_41b,32
HEK_SEC2,Control_HEK_SEC_020118_27b,18
HEK_SEC2,Control_HEK_SEC_020118_37c,28
HEK_SEC2,Control_HEK_SEC_020118_15b,6
HEK_SEC2,Control_HEK_SEC_020118_20b,11
HEK_SEC2,Control_HEK_SEC_020118_25c,16
HEK_SEC2,Control_HEK_SEC_020118_26b,17
HEK_SEC2,Control_HEK_SEC_020118_36c,27
HEK_SEC2,Control_HEK_SEC_020118_50b,41
HEK_SEC2,Control_HEK_SEC_020118_53b,44
HEK_SEC2,Control_HEK_SEC_020118_55b,46
HEK_SEC2,Control_HEK_SEC_020118_49c,40
HEK_SEC2,Control_HEK_SEC_020118_56b,47
HEK_SEC2,Control_HEK_SEC_020118_63b,54
HEK_SEC2,Control_HEK_SEC_020118_57b,48
HEK_SEC2,Control_HEK_SEC_020118_59b,50
HEK_SEC2,Control_HEK_SEC_020118_60c,51
HEK_SEC2,Control_HEK_SEC_020118_52b,43
HEK_SEC2,Control_HEK_SEC_020118_54b,45
HEK_SEC2,Control_HEK_SEC_020118_62b,53
HEK_SEC2,Control_HEK_SEC_020118_65b,56
HEK_SEC2,Control_HEK_SEC_020118_61c,52
HEK_SEC2,Control_HEK_SEC_020118_66b,57
HEK_SEC2,Control_HEK_SEC_020118_67b,58
HEK_SEC2,Control_HEK_SEC_020118_68b,59
HEK_SEC2,Control_HEK_SEC_020118_70b,61
HEK_SEC2,Control_HEK_SEC_020118_58b,49
HEK_SEC2,Control_HEK_SEC_020118_64b,55
HEK_SEC2,Control_HEK_SEC_020118_69b,60
HEK_SEC2,Control_HEK_SEC_020118_13b,4
HEK_SEC2,Control_HEK_SEC_020118_10b,1
HEK_SEC2,Control_HEK_SEC_020118_12b,3
HEK_SEC2,Control_HEK_SEC_020118_11b,2
HEK_SEC2,Control_HEK_SEC_020118_14b,5
HEK_IEX1,HEK293T_control_IEX_6a_011217,64
HEK_IEX1,HEK293T_control_IEX_46a_011217,38
HEK_IEX1,HEK293T_control_IEX_44a_011217,36
HEK_IEX1,HEK293T_control_IEX_47a_011217,39
HEK_IEX1,HEK293T_control_IEX_48a_011217,40
HEK_IEX1,HEK293T_control_IEX_61a_011217,55
HEK_IEX1,HEK293T_control_IEX_63a_011217,57
HEK_IEX1,HEK293T_control_IEX_29a_011217,20
HEK_IEX1,HEK293T_control_IEX_30a_011217,21
HEK_IEX1,HEK293T_control_IEX_45a_011217,37
HEK_IEX1,HEK293T_control_IEX_35a_011217,26
HEK_IEX1,HEK293T_control_IEX_36a_011217,27
HEK_IEX1,HEK293T_control_IEX_50a_011217,43
HEK_IEX1,HEK293T_control_IEX_31a_011217,22
HEK_IEX1,HEK293T_control_IEX_60a_011217,54
HEK_IEX1,HEK293T_control_IEX_51a_011217,44
HEK_IEX1,HEK293T_control_IEX_41a_011217,33
HEK_IEX1,HEK293T_control_IEX_42a_011217,34
HEK_IEX1,HEK293T_control_IEX_43a_011217,35
HEK_IEX1,HEK293T_control_IEX_49a_011217,41
HEK_IEX1,HEK293T_control_IEX_53a_011217,46
HEK_IEX1,HEK293T_control_IEX_54a_011217,47
HEK_IEX1,HEK293T_control_IEX_52a_011217,45
HEK_IEX1,HEK293T_control_IEX_64a_011217,58
HEK_IEX1,HEK293T_control_IEX_65a_011217,59
HEK_IEX1,HEK293T_control_IEX_71a_011217,66
HEK_IEX1,HEK293T_control_IEX_57a_011217,50
HEK_IEX1,HEK293T_control_IEX_66a_011217,60
HEK_IEX1,HEK293T_control_IEX_33a_011217,24
HEK_IEX1,HEK293T_control_IEX_12a_011217,3
HEK_IEX1,HEK293T_control_IEX_23a_011217,14
HEK_IEX1,HEK293T_control_IEX_24a_011217,15
HEK_IEX1,HEK293T_control_IEX_25a_011217,16
HEK_IEX1,HEK293T_control_IEX_26a_011217,17
HEK_IEX1,HEK293T_control_IEX_27a_011217,18
HEK_IEX1,HEK293T_control_IEX_28a_011217,19
HEK_IEX1,HEK293T_control_IEX_70a_011217,65
HEK_IEX1,HEK293T_control_IEX_22a_011217,13
HEK_IEX1,HEK293T_control_IEX_38a_011217,29
HEK_IEX1,HEK293T_control_IEX_39a_011217,30
HEK_IEX1,HEK293T_control_IEX_40a_011217,32
HEK_IEX1,HEK293T_control_IEX_37a_011217,28
HEK_IEX1,HEK293T_control_IEX_34a_011217,25
HEK_IEX1,HEK293T_control_IEX_55a_011217,48
HEK_IEX1,HEK293T_control_IEX_32a_011217,23
HEK_IEX1,HEK293T_control_IEX_7a_011217,68
HEK_IEX1,HEK293T_control_IEX_8a_011217,69
HEK_IEX1,HEK293T_control_IEX_58a_011217,51
HEK_IEX1,HEK293T_control_IEX_59a_011217,52
HEK_IEX1,HEK293T_control_IEX_67a_011217,61
HEK_IEX1,HEK293T_control_IEX_68a_011217,62
HEK_IEX1,HEK293T_control_IEX_72a_011217,67
HEK_IEX1,HEK293T_control_IEX_4a_011217,42
HEK_IEX1,HEK293T_control_IEX_56a_011217,49
HEK_IEX1,HEK293T_control_IEX_62a_011217,56
HEK_IEX1,HEK293T_control_IEX_69a_011217,63
HEK_IEX1,HEK293T_control_IEX_13a_011217,4
HEK_IEX1,HEK293T_control_IEX_16a_011217,7
HEK_IEX1,HEK293T_control_IEX_19a_011217,10
HEK_IEX1,HEK293T_control_IEX_21a_011217,12
HEK_IEX1,HEK293T_control_IEX_9a_011217,70
HEK_IEX1,HEK293T_control_IEX_10a_011217,1
HEK_IEX1,HEK293T_control_IEX_14a_011217,5
HEK_IEX1,HEK293T_control_IEX_18a_011217,9
HEK_IEX1,HEK293T_control_IEX_5a_011217,53
HEK_IEX1,HEK293T_control_IEX_11a_011217,2
HEK_IEX1,HEK293T_control_IEX_15a_011217,6
HEK_IEX1,HEK293T_control_IEX_17a_011217,8
HEK_IEX1,HEK293T_control_IEX_20a_011217,11
HEK_IEX1,HEK293T_control_IEX_3a_011217,31
HEK_IEX2,HEK293T_ctrl_IEX_SC_59a_042217,59
HEK_IEX2,HEK293T_ctrl_IEX_SC_51a_042217,51
HEK_IEX2,HEK293T_ctrl_IEX_SC_61a_042217,61
HEK_IEX2,HEK293T_ctrl_IEX_SC_62a_042217,62
HEK_IEX2,HEK293T_ctrl_IEX_SC_64a_042217,64
HEK_IEX2,HEK293T_ctrl_IEX_SC_66a_042217,66
HEK_IEX2,HEK293T_ctrl_IEX_SC_28a_042217,28
HEK_IEX2,HEK293T_ctrl_IEX_SC_30a_042217,30
HEK_IEX2,HEK293T_ctrl_IEX_SC_32a_042217,32
HEK_IEX2,HEK293T_ctrl_IEX_SC_33a_042217,33
HEK_IEX2,HEK293T_ctrl_IEX_SC_34a_042217,34
HEK_IEX2,HEK293T_ctrl_IEX_SC_23a_042217,23
HEK_IEX2,HEK293T_ctrl_IEX_SC_24a_042217,24
HEK_IEX2,HEK293T_ctrl_IEX_SC_54a_042217,54
HEK_IEX2,HEK293T_ctrl_IEX_SC_47a_042217,47
HEK_IEX2,HEK293T_ctrl_IEX_SC_45a_042217,45
HEK_IEX2,HEK293T_ctrl_IEX_SC_46a_042217,46
HEK_IEX2,HEK293T_ctrl_IEX_SC_48a_042217,48
HEK_IEX2,HEK293T_ctrl_IEX_SC_53a_042217,53
HEK_IEX2,HEK293T_ctrl_IEX_SC_36a_042217,36
HEK_IEX2,HEK293T_ctrl_IEX_SC_80a_042217,80
HEK_IEX2,HEK293T_ctrl_IEX_SC_55a_042217,55
HEK_IEX2,HEK293T_ctrl_IEX_SC_56a_042217,56
HEK_IEX2,HEK293T_ctrl_IEX_SC_57a_042217,57
HEK_IEX2,HEK293T_ctrl_IEX_SC_72a_042217,72
HEK_IEX2,HEK293T_ctrl_IEX_SC_73a_042217,73
HEK_IEX2,HEK293T_ctrl_IEX_SC_75a_042217,75
HEK_IEX2,HEK293T_ctrl_IEX_SC_76a_042217,76
HEK_IEX2,HEK293T_ctrl_IEX_SC_78a_042217,78
HEK_IEX2,HEK293T_ctrl_IEX_SC_27a_042217,27
HEK_IEX2,HEK293T_ctrl_IEX_SC_63a_042217,63
HEK_IEX2,HEK293T_ctrl_IEX_SC_65a_042217,65
HEK_IEX2,HEK293T_ctrl_IEX_SC_50a_042217,50
HEK_IEX2,HEK293T_ctrl_IEX_SC_38a_042217,38
HEK_IEX2,HEK293T_ctrl_IEX_SC_39a_042217,39
HEK_IEX2,HEK293T_ctrl_IEX_SC_67a_042217,67
HEK_IEX2,HEK293T_ctrl_IEX_SC_74a_042217,74
HEK_IEX2,HEK293T_ctrl_IEX_SC_84a_042217,84
HEK_IEX2,HEK293T_ctrl_IEX_SC_69a_042217,69
HEK_IEX2,HEK293T_ctrl_IEX_SC_70a_042217,70
HEK_IEX2,HEK293T_ctrl_IEX_SC_71a_042217,71
HEK_IEX2,HEK293T_ctrl_IEX_SC_77a_042217,77
HEK_IEX2,HEK293T_ctrl_IEX_SC_79a_042217,79
HEK_IEX2,HEK293T_ctrl_IEX_SC_81a_042217,81
HEK_IEX2,HEK293T_ctrl_IEX_SC_82a_042217,82
HEK_IEX2,HEK293T_ctrl_IEX_SC_83a_042217,83
HEK_IEX2,HEK293T_ctrl_IEX_SC_68a_042217,68
HEK_IEX2,HEK293T_ctrl_IEX_SC_43a_042217,43
HEK_IEX2,HEK293T_ctrl_IEX_SC_25a_042217,25
HEK_IEX2,HEK293T_ctrl_IEX_SC_26a_042217,26
HEK_IEX2,HEK293T_ctrl_IEX_SC_58a_042217,58
HEK_IEX2,HEK293T_ctrl_IEX_SC_44a_042217,44
HEK_IEX2,HEK293T_ctrl_IEX_SC_35a_042217,35
HEK_IEX2,HEK293T_ctrl_IEX_SC_40a_042217,40
HEK_IEX2,HEK293T_ctrl_IEX_SC_49a_042217,49
HEK_IEX2,HEK293T_ctrl_IEX_SC_22a_042217,22
HEK_IEX2,HEK293T_ctrl_IEX_SC_10a_042217,10
HEK_IEX2,HEK293T_ctrl_IEX_SC_52a_042217,52
HEK_IEX2,HEK293T_ctrl_IEX_SC_60a_042217,60
HEK_IEX2,HEK293T_ctrl_IEX_SC_19a_042217,19
HEK_IEX2,HEK293T_ctrl_IEX_SC_20a_042217,20
HEK_IEX2,HEK293T_ctrl_IEX_SC_41a_042217,41
HEK_IEX2,HEK293T_ctrl_IEX_SC_42a_042217,42
HEK_IEX2,HEK293T_ctrl_IEX_SC_37a_042217,37
HEK_IEX2,HEK293T_ctrl_IEX_SC_08a_042217,8
HEK_IEX2,HEK293T_ctrl_IEX_SC_07a_042217,7
HEK_IEX2,HEK293T_ctrl_IEX_SC_31a_042217,31
HEK_IEX2,HEK293T_ctrl_IEX_SC_11a_042217,11
HEK_IEX2,HEK293T_ctrl_IEX_SC_16a_042217,16
HEK_IEX2,HEK293T_ctrl_IEX_SC_17a_042217,17
HEK_IEX2,HEK293T_ctrl_IEX_SC_18a_042217,18
HEK_IEX2,HEK293T_ctrl_IEX_SC_06a_042217,6
HEK_IEX2,HEK293T_ctrl_IEX_SC_12a_042217,12
HEK_IEX2,HEK293T_ctrl_IEX_SC_15a_042217,15
HEK_IEX2,HEK293T_ctrl_IEX_SC_21a_042217,21
HEK_IEX2,HEK293T_ctrl_IEX_SC_13a_042217,13
HEK_IEX2,HEK293T_ctrl_IEX_SC_29a_042217,29
HEK_IEX2,HEK293T_ctrl_IEX_SC_09a_042217,9
HEK_IEX2,HEK293T_ctrl_IEX_SC_01a_042217,1
HEK_IEX2,HEK293T_ctrl_IEX_SC_04a_042217,4
HEK_IEX2,HEK293T_ctrl_IEX_SC_05a_042217,5
HEK_IEX2,HEK293T_ctrl_IEX_SC_02a_042217,2
HEK_IEX2,HEK293T_ctrl_IEX_SC_14a_042217,14
HEK_IEX2,HEK293T_ctrl_IEX_SC_03a_042217,3
HEK_SEC1,HEK293T_ctrl_SEC_29a_113016,17
HEK_SEC1,HEK293T_ctrl_SEC_30a_113016,18
HEK_SEC1,HEK293T_ctrl_SEC_35a_113016,23
HEK_SEC1,HEK293T_ctrl_SEC_36a_113016,24
HEK_SEC1,HEK293T_ctrl_SEC_37a_113016,25
HEK_SEC1,HEK293T_ctrl_SEC_26a_113016,14
HEK_SEC1,HEK293T_ctrl_SEC_45a_113016,33
HEK_SEC1,HEK293T_ctrl_SEC_52a_113016,40
HEK_SEC1,HEK293T_ctrl_SEC_28a_113016,16
HEK_SEC1,HEK293T_ctrl_SEC_27a_113016,15
HEK_SEC1,HEK293T_ctrl_SEC_31a_113016,19
HEK_SEC1,HEK293T_ctrl_SEC_32a_113016,20
HEK_SEC1,HEK293T_ctrl_SEC_33a_113016,21
HEK_SEC1,HEK293T_ctrl_SEC_34a_113016,22
HEK_SEC1,HEK293T_ctrl_SEC_39a_113016,27
HEK_SEC1,HEK293T_ctrl_SEC_48a_113016,36
HEK_SEC1,HEK293T_ctrl_SEC_50a_113016,38
HEK_SEC1,HEK293T_ctrl_SEC_40a_113016,28
HEK_SEC1,HEK293T_ctrl_SEC_38a_113016,26
HEK_SEC1,HEK293T_ctrl_SEC_41a_113016,29
HEK_SEC1,HEK293T_ctrl_SEC_42a_113016,30
HEK_SEC1,HEK293T_ctrl_SEC_18a_113016,6
HEK_SEC1,HEK293T_ctrl_SEC_22a_113016,10
HEK_SEC1,HEK293T_ctrl_SEC_43a_113016,31
HEK_SEC1,HEK293T_ctrl_SEC_19a_113016,7
HEK_SEC1,HEK293T_ctrl_SEC_17a_113016,5
HEK_SEC1,HEK293T_ctrl_SEC_20a_113016,8
HEK_SEC1,HEK293T_ctrl_SEC_21a_113016,9
HEK_SEC1,HEK293T_ctrl_SEC_23a_113016,11
HEK_SEC1,HEK293T_ctrl_SEC_24a_113016,12
HEK_SEC1,HEK293T_ctrl_SEC_25a_113016,13
HEK_SEC1,HEK293T_ctrl_SEC_60a_113016,48
HEK_SEC1,HEK293T_ctrl_SEC_58a_113016,46
HEK_SEC1,HEK293T_ctrl_SEC_55a_113016,43
HEK_SEC1,HEK293T_ctrl_SEC_44a_113016,32
HEK_SEC1,HEK293T_ctrl_SEC_46a_113016,34
HEK_SEC1,HEK293T_ctrl_SEC_47a_113016,35
HEK_SEC1,HEK293T_ctrl_SEC_51a_113016,39
HEK_SEC1,HEK293T_ctrl_SEC_53a_113016,41
HEK_SEC1,HEK293T_ctrl_SEC_49a_113016,37
HEK_SEC1,HEK293T_ctrl_SEC_54a_113016,42
HEK_SEC1,HEK293T_ctrl_SEC_56a_113016,44
HEK_SEC1,HEK293T_ctrl_SEC_57a_113016,45
HEK_SEC1,HEK293T_ctrl_SEC_59a_113016,47
HEK_SEC1,HEK293T_ctrl_SEC_61a_113016,49
HEK_SEC1,HEK293T_ctrl_SEC_62a_113016,50
HEK_SEC1,HEK293T_ctrl_SEC_16a_113016,4
HEK_SEC1,HEK293T_ctrl_SEC_13a_113016,1
HEK_SEC1,HEK293T_ctrl_SEC_14a_113016,2
HEK_SEC1,HEK293T_ctrl_SEC_15a_113016,3
HEKR_SEC1,HEK293T_RNASE_SEC_54a_120916,42
HEKR_SEC1,HEK293T_RNASE_SEC_31a_120916,19
HEKR_SEC1,HEK293T_RNASE_SEC_48a_120916,36
HEKR_SEC1,HEK293T_RNASE_SEC_28a_120916,16
HEKR_SEC1,HEK293T_RNASE_SEC_46a_120916,34
HEKR_SEC1,HEK293T_RNASE_SEC_50a_120916,38
HEKR_SEC1,HEK293T_RNASE_SEC_52a_120916,40
HEKR_SEC1,HEK293T_RNASE_SEC_53a_120916,41
HEKR_SEC1,HEK293T_RNASE_SEC_30a_120916,18
HEKR_SEC1,HEK293T_RNASE_SEC_25a_120916,13
HEKR_SEC1,HEK293T_RNASE_SEC_27a_120916,15
HEKR_SEC1,HEK293T_RNASE_SEC_39a_120916,27
HEKR_SEC1,HEK293T_RNASE_SEC_40a_120916,28
HEKR_SEC1,HEK293T_RNASE_SEC_41a_120916,29
HEKR_SEC1,HEK293T_RNASE_SEC_43a_120916,31
HEKR_SEC1,HEK293T_RNASE_SEC_37a_120916,25
HEKR_SEC1,HEK293T_RNASE_SEC_42a_120916,30
HEKR_SEC1,HEK293T_RNASE_SEC_32a_120916,20
HEKR_SEC1,HEK293T_RNASE_SEC_44a_120916,32
HEKR_SEC1,HEK293T_RNASE_SEC_19a_120916,7
HEKR_SEC1,HEK293T_RNASE_SEC_20a_120916,8
HEKR_SEC1,HEK293T_RNASE_SEC_22a_120916,10
HEKR_SEC1,HEK293T_RNASE_SEC_35a_120916,23
HEKR_SEC1,HEK293T_RNASE_SEC_36a_120916,24
HEKR_SEC1,HEK293T_RNASE_SEC_59a_120916,47
HEKR_SEC1,HEK293T_RNASE_SEC_47a_120916,35
HEKR_SEC1,HEK293T_RNASE_SEC_49a_120916,37
HEKR_SEC1,HEK293T_RNASE_SEC_51a_120916,39
HEKR_SEC1,HEK293T_RNASE_SEC_45a_120916,33
HEKR_SEC1,HEK293T_RNASE_SEC_38a_120916,26
HEKR_SEC1,HEK293T_RNASE_SEC_33a_120916,21
HEKR_SEC1,HEK293T_RNASE_SEC_34a_120916,22
HEKR_SEC1,HEK293T_RNASE_SEC_26a_120916,14
HEKR_SEC1,HEK293T_RNASE_SEC_29a_120916,17
HEKR_SEC1,HEK293T_RNASE_SEC_23a_120916,11
HEKR_SEC1,HEK293T_RNASE_SEC_18a_120916,6
HEKR_SEC1,HEK293T_RNASE_SEC_21a_120916,9
HEKR_SEC1,HEK293T_RNASE_SEC_56a_120916,44
HEKR_SEC1,HEK293T_RNASE_SEC_58a_120916,46
HEKR_SEC1,HEK293T_RNASE_SEC_61a_120916,49
HEKR_SEC1,HEK293T_RNASE_SEC_55a_120916,43
HEKR_SEC1,HEK293T_RNASE_SEC_62a_120916,50
HEKR_SEC1,HEK293T_RNASE_SEC_24a_120916,12
HEKR_SEC1,HEK293T_RNASE_SEC_17a_120916,5
HEKR_SEC1,HEK293T_RNASE_SEC_57a_120916,45
HEKR_SEC1,HEK293T_RNASE_SEC_60a_120916,48
HEKR_SEC1,HEK293T_RNASE_SEC_14a_120916,2
HEKR_SEC1,HEK293T_RNASE_SEC_16a_120916,4
HEKR_SEC1,HEK293T_RNASE_SEC_13a_120916,1
HEKR_SEC1,HEK293T_RNASE_SEC_15a_120916,3
HEKR_SEC2,RNaseA_HEK_SEC_012318_23a,14
HEKR_SEC2,RNaseA_HEK_SEC_012318_24a,15
HEKR_SEC2,RNaseA_HEK_SEC_012318_27a,18
HEKR_SEC2,RNaseA_HEK_SEC_012318_30a,21
HEKR_SEC2,RNaseA_HEK_SEC_012318_31a,22
HEKR_SEC2,RNaseA_HEK_SEC_012318_33a,24
HEKR_SEC2,RNaseA_HEK_SEC_012318_43a,34
HEKR_SEC2,RNaseA_HEK_SEC_012318_44a,35
HEKR_SEC2,RNaseA_HEK_SEC_012318_48a,39
HEKR_SEC2,RNaseA_HEK_SEC_012318_59a,50
HEKR_SEC2,RNaseA_HEK_SEC_012318_38a,29
HEKR_SEC2,RNaseA_HEK_SEC_012318_54a,45
HEKR_SEC2,RNaseA_HEK_SEC_012318_34a,25
HEKR_SEC2,RNaseA_HEK_SEC_012318_35a,26
HEKR_SEC2,RNaseA_HEK_SEC_012318_36a,27
HEKR_SEC2,RNaseA_HEK_SEC_012318_39a,30
HEKR_SEC2,RNaseA_HEK_SEC_012318_40a,31
HEKR_SEC2,RNaseA_HEK_SEC_012318_28a,19
HEKR_SEC2,RNaseA_HEK_SEC_012318_29a,20
HEKR_SEC2,RNaseA_HEK_SEC_012318_16a,7
HEKR_SEC2,RNaseA_HEK_SEC_012318_12a,3
HEKR_SEC2,RNaseA_HEK_SEC_012318_21a,12
HEKR_SEC2,RNaseA_HEK_SEC_012318_22a,13
HEKR_SEC2,RNaseA_HEK_SEC_012318_25a,16
HEKR_SEC2,RNaseA_HEK_SEC_012318_26a,17
HEKR_SEC2,RNaseA_HEK_SEC_012318_49a,40
HEKR_SEC2,RNaseA_HEK_SEC_012318_53a,44
HEKR_SEC2,RNaseA_HEK_SEC_012318_55a,46
HEKR_SEC2,RNaseA_HEK_SEC_012318_56a,47
HEKR_SEC2,RNaseA_HEK_SEC_012318_58a,49
HEKR_SEC2,RNaseA_HEK_SEC_012318_62a,53
HEKR_SEC2,RNaseA_HEK_SEC_012318_63a,54
HEKR_SEC2,RNaseA_HEK_SEC_012318_66a,57
HEKR_SEC2,RNaseA_HEK_SEC_012318_67a,58
HEKR_SEC2,RNaseA_HEK_SEC_012318_69a,60
HEKR_SEC2,RNaseA_HEK_SEC_012318_45a,36
HEKR_SEC2,RNaseA_HEK_SEC_012318_46a,37
HEKR_SEC2,RNaseA_HEK_SEC_012318_47a,38
HEKR_SEC2,RNaseA_HEK_SEC_012318_18a,9
HEKR_SEC2,RNaseA_HEK_SEC_012318_19a,10
HEKR_SEC2,RNaseA_HEK_SEC_012318_20a,11
HEKR_SEC2,RNaseA_HEK_SEC_012318_32a,23
HEKR_SEC2,RNaseA_HEK_SEC_012318_37a,28
HEKR_SEC2,RNaseA_HEK_SEC_012318_41a,32
HEKR_SEC2,RNaseA_HEK_SEC_012318_42a,33
HEKR_SEC2,RNaseA_HEK_SEC_012318_17a,8
HEKR_SEC2,RNaseA_HEK_SEC_012318_52a,43
HEKR_SEC2,RNaseA_HEK_SEC_012318_50a,41
HEKR_SEC2,RNaseA_HEK_SEC_012318_51a,42
HEKR_SEC2,RNaseA_HEK_SEC_012318_65a,56
HEKR_SEC2,RNaseA_HEK_SEC_012318_60a,51
HEKR_SEC2,RNaseA_HEK_SEC_012318_61a,52
HEKR_SEC2,RNaseA_HEK_SEC_012318_57a,48
HEKR_SEC2,RNaseA_HEK_SEC_012318_64a,55
HEKR_SEC2,RNaseA_HEK_SEC_012318_68a,59
HEKR_SEC2,RNaseA_HEK_SEC_012318_70a,61
HEKR_SEC2,RNaseA_HEK_SEC_012318_11a,2
HEKR_SEC2,RNaseA_HEK_SEC_012318_10a,1
HEKR_SEC2,RNaseA_HEK_SEC_012318_14a,5
HEKR_SEC2,RNaseA_HEK_SEC_012318_15a,6
HEKR_SEC2,RNaseA_HEK_SEC_012318_13a,4
ARATH_IEX1,Athaliana_sproutsWWC_05a_02182017,5
ARATH_IEX1,Athaliana_sproutsWWC_10a_02202017,10
ARATH_IEX1,Athaliana_sproutsWWC_30a_02192017,30
ARATH_IEX1,Athaliana_sproutsWWC_08a_02192017,8
ARATH_IEX1,Athaliana_sproutsWWC_19a_02192017,19
ARATH_IEX1,Athaliana_sproutsWWC_20a_02192017,20
